"","dc_key","race","sex","fatal","date","has_court_case","age","street_name","block_number","zip_code","council_district","police_district","neighborhood","house_district","senate_district","school_catchment","lng","lat","year"
"193","2.02322E+11","Black (Non-Hispanic)","Male","Nonfatal","12/22/2023 19:46","No",27,"W OXFORD ST",1800,19121,5,22,"Sharswood-Stanton",181,3,"General George G. Meade School",-75.164989,39.978198,2023
"194","2.02315E+11","Black (Non-Hispanic)","Male","Nonfatal","12/22/2023 17:58","Yes",26,"TORRESDALE AVE",4200,19124,7,15,"Frankford",179,2,"Allen M. Stearne School",-75.084895,40.00812,2023
"195","2.02319E+11","Black (Non-Hispanic)","Male","Nonfatal","12/22/2023 12:50","Yes",30,"N 56TH ST",0,19139,4,19,"Haddington-Overbrook",190,7,"John Barry School",-75.23282,39.961463,2023
"196","2.02318E+11","Black (Non-Hispanic)","Male","Nonfatal","12/21/2023 10:53","No",40,"MARKET ST",3000,19104,3,18,"University City",188,7,"Samuel Powel School",-75.184727,39.954932,2023
"197","2.02319E+11","Black (Non-Hispanic)","Male","Fatal","12/21/2023 4:33","No",22,"UPLAND WAY",5600,19131,4,19,"Overbrook Park-Wynnefield Heights",192,7,"Mastery Charter School at Mann",-75.235414,39.984243,2023
"198","2.02317E+11","Black (Non-Hispanic)","Male","Fatal","12/20/2023 21:45","No",58,"WHARTON ST",1700,19146,2,17,"Schuylkill-Point Breeze",186,8,"George W. Childs School",-75.172894,39.934877,2023
"199","2.02317E+11","Black (Non-Hispanic)","Male","Nonfatal","12/20/2023 20:41","No",29,"S CHADWICK ST",1300,19146,2,17,"Southwark-Bella Vista",186,8,"George W. Childs School",-75.171887,39.934663,2023
"200","2.02312E+11","Black (Non-Hispanic)","Male","Nonfatal","12/20/2023 19:08","Yes",22,"CHELWYNDE AVE",7300,19153,2,12,"Eastwick-Elmwood",185,8,"John M. Patterson School",-75.240306,39.911427,2023
"201","2.02312E+11","White (Non-Hispanic)","Female","Nonfatal","12/20/2023 19:08","Yes",23,"CHELWYNDE AVE",7300,19153,2,12,"Eastwick-Elmwood",185,8,"John M. Patterson School",-75.240306,39.911427,2023
"202","2.02312E+11","Black (Non-Hispanic)","Male","Nonfatal","12/20/2023 19:08","Yes",17,"CHELWYNDE AVE",7300,19153,2,12,"Eastwick-Elmwood",185,8,"John M. Patterson School",-75.240306,39.911427,2023
"203","2.02312E+11","Black (Non-Hispanic)","Male","Nonfatal","12/20/2023 19:08","Yes",NA,"CHELWYNDE AVE",7300,19153,2,12,"Eastwick-Elmwood",185,8,"John M. Patterson School",-75.240306,39.911427,2023
"204","2.02315E+11","Black (Non-Hispanic)","Female","Nonfatal","12/20/2023 18:03","Yes",28,"OXFORD AVE",5200,19124,7,15,"Frankford",179,2,"The Philadelphia Charter School for Arts and Sciences",-75.08485,40.026506,2023
"205","2.02315E+11","Black (Non-Hispanic)","Male","Nonfatal","12/20/2023 18:03","Yes",20,"OXFORD AVE",5200,19124,7,15,"Frankford",179,2,"The Philadelphia Charter School for Arts and Sciences",-75.08485,40.026506,2023
"206","2.02315E+11","Hispanic (Black or White)","Male","Fatal","12/20/2023 18:03","Yes",19,"OXFORD AVE",5200,19124,7,15,"Frankford",179,2,"The Philadelphia Charter School for Arts and Sciences",-75.08485,40.026506,2023
"207","2.02335E+11","Black (Non-Hispanic)","Male","Nonfatal","12/19/2023 19:03","Yes",19,"W LAVEER ST",2000,19138,8,35,"Ogontz",201,4,"Joseph Pennell School",-75.153317,40.049464,2023
"208","2.02318E+11","Black (Non-Hispanic)","Male","Nonfatal","12/19/2023 18:41","Yes",42,"BALTIMORE AVE",5300,19143,3,18,"Cobbs Creek",188,8,"Avery D. Harrington School",-75.230556,39.948128,2023
"209","2.02325E+11","Hispanic (Black or White)","Male","Nonfatal","12/19/2023 4:25","No",28,"N LEE ST",3200,19140,7,25,"Hunting Park-Fairhill",180,2,"William Cramp School",-75.128525,39.999048,2023
"210","2.02318E+11","Black (Non-Hispanic)","Female","Nonfatal","12/16/2023 23:30","No",30,"MARKET ST",6100,19139,3,18,"Haddington-Overbrook",192,7,"John Barry School",-75.244696,39.962454,2023
"211","2.02324E+11","White (Non-Hispanic)","Male","Nonfatal","12/16/2023 15:15","No",60,"E GLENWOOD AVE",2000,19124,1,24,"Juniata Park-Harrowgate",180,5,"John H. Webster School",-75.099438,40.00076,2023
"212","2.02301E+11","Black (Non-Hispanic)","Male","Nonfatal","12/15/2023 16:45","No",36,"MIFFLIN ST",1600,19145,2,1,"South Broad-Girard Estates",186,1,"Stephen Girard School",-75.172696,39.927269,2023
"213","2.02319E+11","Black (Non-Hispanic)","Male","Nonfatal","12/15/2023 2:56","Yes",32,"N FRAZIER ST",0,19139,4,19,"Haddington-Overbrook",190,7,"John Barry School",-75.234197,39.961754,2023
"214","2.02326E+11","Black (Non-Hispanic)","Male","Nonfatal","12/14/2023 19:41","No",21,"N LEITHGOW ST",2100,19122,7,26,"Northern Liberties-West Kensington",197,2,"William McKinley School",-75.140844,39.982689,2023
"215","2.02325E+11","Hispanic (Black or White)","Male","Fatal","12/14/2023 19:14","No",56,"BOUDINOT ST",4900,19120,7,25,"Olney-Feltonville",197,3,"Clara Barton School",-75.11696,40.024114,2023
"216","2.02322E+11","Black (Non-Hispanic)","Male","Nonfatal","12/12/2023 16:39","No",41,"W LEHIGH AVE",2900,19132,5,22,"Strawberry Mansion",195,7,"Dr. Ethel Allen School",-75.179739,39.99698,2023
"217","2.02314E+11","Black (Non-Hispanic)","Male","Nonfatal","12/12/2023 16:22","No",26,"DALLAS ST",1800,19126,9,14,"West Oak Lane-Cedarbrook",203,4,"William Rowen School",-75.146211,40.062909,2023
"218","2.02322E+11","Black (Non-Hispanic)","Male","Fatal","12/12/2023 13:50","Yes",33,"N CROSKEY ST",1900,19121,5,22,"Strawberry Mansion",195,3,"Mastery Charter School at Douglass",-75.171023,39.983843,2023
"219","2.02314E+11","Black (Non-Hispanic)","Male","Nonfatal","12/11/2023 22:49","Yes",20,"CHEW AVE",6300,19138,8,14,"East Mt. Airy",200,4,"Eleanor C. Emlen School",-75.173322,40.050695,2023
"220","2.02303E+11","Asian","Male","Nonfatal","12/11/2023 19:13","Yes",25,"S 8TH ST",2500,19148,1,3,"Snyder-Whitman",184,1,"D. Newlin Fell School",-75.161118,39.917755,2023
"221","2.02303E+11","Black (Non-Hispanic)","Male","Nonfatal","12/11/2023 19:13","Yes",27,"S 8TH ST",2500,19148,1,3,"Snyder-Whitman",184,1,"D. Newlin Fell School",-75.161118,39.917755,2023
"222","2.02325E+11","Black (Non-Hispanic)","Male","Fatal","12/11/2023 17:56","No",31,"W ONTARIO ST",1000,19140,5,25,"Hunting Park-Fairhill",197,3,"Mary M. Bethune School",-75.145905,40.003682,2023
"223","2.02302E+11","Black (Non-Hispanic)","Male","Nonfatal","12/10/2023 13:08","Yes",30,"SOUDER ST",6700,19149,6,2,"Oxford Circle",202,5,"Gilbert Spruance School",-75.069828,40.042179,2023
"224","2.02322E+11","Black (Non-Hispanic)","Male","Nonfatal","12/10/2023 11:18","Yes",57,"W LEHIGH AVE",2600,19132,5,22,"Strawberry Mansion",195,7,"Dr. Ethel Allen School",-75.174948,39.996505,2023
"225","2.02339E+11","Black (Non-Hispanic)","Male","Nonfatal","12/10/2023 10:56","No",23,"W SCHOOL HOUSE LN",200,19144,8,39,"East Falls-Westside",198,3,"John B. Kelly School",-75.177221,40.029903,2023
"226","2.02302E+11","White (Non-Hispanic)","Male","Nonfatal","12/10/2023 4:59","No",28,"CASTOR AVE",6700,19111,9,2,"Oxford Circle",202,2,"J. Hampton Moore School",-75.0731,40.044069,2023
"227","2.02322E+11","Black (Non-Hispanic)","Male","Fatal","12/10/2023 4:12","No",32,"N CHADWICK ST",2200,19132,5,22,"Sharswood-Stanton",197,3,"Tanner G. Duckrey School",-75.160503,39.986874,2023
"228","2.02322E+11","Black (Non-Hispanic)","Male","Nonfatal","12/10/2023 4:12","No",36,"N CHADWICK ST",2200,19132,5,22,"Sharswood-Stanton",197,3,"Tanner G. Duckrey School",-75.160503,39.986874,2023
"229","2.02322E+11","Black (Non-Hispanic)","Male","Nonfatal","12/10/2023 4:12","No",45,"N CHADWICK ST",2200,19132,5,22,"Sharswood-Stanton",197,3,"Tanner G. Duckrey School",-75.160503,39.986874,2023
"230","2.02322E+11","Black (Non-Hispanic)","Female","Fatal","12/10/2023 4:12","No",28,"N CHADWICK ST",2200,19132,5,22,"Sharswood-Stanton",197,3,"Tanner G. Duckrey School",-75.160503,39.986874,2023
"231","2.02308E+11","White (Non-Hispanic)","Male","Nonfatal","12/10/2023 2:31","Yes",32,"FRANKFORD AVE",8000,19136,6,8,"Mayfair-Holmesburg",172,2,"Joseph H. Brown School",-75.028174,40.041474,2023
"232","2.02308E+11","White (Non-Hispanic)","Male","Nonfatal","12/10/2023 2:31","Yes",31,"FRANKFORD AVE",8000,19136,6,8,"Mayfair-Holmesburg",172,2,"Joseph H. Brown School",-75.028174,40.041474,2023
"233","2.02335E+11","Black (Non-Hispanic)","Male","Fatal","12/9/2023 19:38","No",17,"N 5TH ST",5300,19120,8,35,"Olney-Feltonville",201,3,"Thurgood Marshall School",-75.131556,40.032065,2023
"234","2.02335E+11","Black (Non-Hispanic)","Male","Nonfatal","12/9/2023 19:38","No",17,"N 5TH ST",5300,19120,8,35,"Olney-Feltonville",201,3,"Thurgood Marshall School",-75.131556,40.032065,2023
"235","2.02312E+11","Black (Non-Hispanic)","Male","Nonfatal","12/9/2023 18:29","No",38,"ELMWOOD AVE",5700,19143,2,12,"Paschall-Kingsessing",191,8,"Thomas G. Morton School",-75.219396,39.929984,2023
"236","2.02325E+11","Hispanic (Black or White)","Male","Nonfatal","12/9/2023 15:59","No",35,"N LAWRENCE ST",2900,19133,7,25,"Hunting Park-Fairhill",197,2,"Julia de Burgos School",-75.138615,39.995151,2023
"237","2.02325E+11","Hispanic (Black or White)","Male","Nonfatal","12/9/2023 4:43","No",23,"E ALLEGHENY AVE",100,19140,7,25,"Hunting Park-Fairhill",180,2,"William Cramp School",-75.129074,39.998611,2023
"238","2.02325E+11","Hispanic (Black or White)","Male","Nonfatal","12/9/2023 4:43","No",29,"E ALLEGHENY AVE",100,19140,7,25,"Hunting Park-Fairhill",180,2,"William Cramp School",-75.129074,39.998611,2023
"239","2.02325E+11","Black (Non-Hispanic)","Male","Nonfatal","12/8/2023 23:55","Yes",34,"W LEHIGH AVE",100,19133,7,25,"Hunting Park-Fairhill",180,2,"Isaac A. Sheppard School",-75.131181,39.991049,2023
"240","2.02312E+11","Black (Non-Hispanic)","Male","Nonfatal","12/8/2023 22:51","No",33,"S 62ND ST",2900,19142,3,12,"Eastwick-Elmwood",185,8,"Thomas G. Morton School",-75.22228,39.921978,2023
"241","2.02325E+11","Black (Non-Hispanic)","Male","Fatal","12/8/2023 16:56","Yes",36,"N 8TH ST",4300,19140,7,25,"Hunting Park-Fairhill",197,3,"Cayuga School",-75.139604,40.018166,2023
"242","2.02339E+11","Black (Non-Hispanic)","Male","Fatal","12/7/2023 20:25","No",22,"W CLEARFIELD ST",2900,19132,4,39,"Nicetown-Tioga",198,7,"E. Washington Rhodes School",-75.178032,40.003168,2023
"243","2.02322E+11","Black (Non-Hispanic)","Male","Nonfatal","12/6/2023 18:25","No",37,"N 22ND ST",2100,19121,5,22,"Strawberry Mansion",181,3,"William Dick School",-75.169356,39.987521,2023
"244","2.02325E+11","Hispanic (Black or White)","Male","Fatal","12/6/2023 16:45","Yes",34,"W CAMBRIA ST",100,19133,7,25,"Hunting Park-Fairhill",180,2,"Julia de Burgos School",-75.13332,39.994456,2023
"245","2.02325E+11","Hispanic (Black or White)","Male","Nonfatal","12/6/2023 16:45","Yes",61,"W CAMBRIA ST",100,19133,7,25,"Hunting Park-Fairhill",180,2,"Julia de Burgos School",-75.13332,39.994456,2023
"246","2.02325E+11","White (Non-Hispanic)","Male","Nonfatal","12/6/2023 16:45","Yes",21,"W CAMBRIA ST",100,19133,7,25,"Hunting Park-Fairhill",180,2,"Julia de Burgos School",-75.13332,39.994456,2023
"247","2.02325E+11","Hispanic (Black or White)","Male","Nonfatal","12/6/2023 14:30","Yes",25,"N 5TH ST",4100,19140,7,25,"Hunting Park-Fairhill",197,3,"Alexander K. McClure School",-75.135305,40.014901,2023
"248","2.02325E+11","Hispanic (Black or White)","Male","Nonfatal","12/6/2023 14:30","Yes",19,"N 5TH ST",4100,19140,7,25,"Hunting Park-Fairhill",197,3,"Alexander K. McClure School",-75.135305,40.014901,2023
"249","2.02319E+11","Black (Non-Hispanic)","Male","Nonfatal","12/4/2023 21:37","No",55,"N 52ND ST",0,19139,3,19,"Haddington-Overbrook",190,7,"Alain Locke School",-75.22476,39.960974,2023
"250","2.02319E+11","Black (Non-Hispanic)","Male","Nonfatal","12/4/2023 21:37","No",28,"POPLAR ST",5400,19131,4,19,"Haddington-Overbrook",192,7,"Universal Charter School at Daroff",-75.228615,39.970142,2023
"251","2.02314E+11","Black (Non-Hispanic)","Male","Fatal","12/4/2023 0:48","Yes",44,"WOOSTER RD",2200,19138,9,14,"West Oak Lane-Cedarbrook",200,4,"Samuel Pennypacker School",-75.154477,40.066254,2023
"252","2.02314E+11","Black (Non-Hispanic)","Female","Nonfatal","12/4/2023 0:48","Yes",45,"WOOSTER RD",2200,19138,9,14,"West Oak Lane-Cedarbrook",200,4,"Samuel Pennypacker School",-75.154477,40.066254,2023
"253","2.02322E+11","Black (Non-Hispanic)","Male","Nonfatal","12/3/2023 23:24","No",39,"N LAMBERT ST",2300,19132,5,22,"Strawberry Mansion",181,3,"William Dick School",-75.166345,39.990416,2023
"254","2.02302E+11","White (Non-Hispanic)","Male","Nonfatal","12/3/2023 9:05","Yes",34,"SUMMERDALE AVE",4900,19124,9,2,"Lawndale-Crescentville",179,2,"Laura H. Carnell School",-75.09612,40.027616,2023
"255","2.02316E+11","Black (Non-Hispanic)","Male","Fatal","12/3/2023 5:24","No",40,"FARSON ST",0,19139,3,16,"Haddington-Overbrook",190,7,"Alain Locke School",-75.221617,39.960819,2023
"256","2.02317E+11","Black (Non-Hispanic)","Male","Fatal","12/2/2023 18:18","No",47,"S NAPA ST",1500,19146,2,17,"Grays Ferry-Passyunk",186,8,"Universal Charter School at Alcorn",-75.196261,39.935286,2023
"257","2.02318E+11","Black (Non-Hispanic)","Male","Nonfatal","12/2/2023 17:10","No",26,"S 60TH ST",1100,19143,3,18,"Cobbs Creek",191,8,"Add B. Anderson School",-75.244323,39.946074,2023
"258","2.02302E+11","Black (Non-Hispanic)","Male","Fatal","12/2/2023 0:37","Yes",19,"E GODFREY AVE",500,19120,9,2,"Lawndale-Crescentville",203,2,"Universal Charter School at Creighton",-75.106554,40.04114,2023
"259","2.02322E+11","Black (Non-Hispanic)","Male","Fatal","12/1/2023 19:05","No",31,"RIDGE AVE",2900,19121,5,22,"Strawberry Mansion",195,3,"James G. Blaine School",-75.181993,39.987653,2023
"260","2.02322E+11","Black (Non-Hispanic)","Male","Nonfatal","11/30/2023 17:26","No",32,"W YORK ST",1400,19132,5,22,"Sharswood-Stanton",197,3,"Tanner G. Duckrey School",-75.156411,39.989471,2023
"261","2.02326E+11","Black (Non-Hispanic)","Male","Fatal","11/29/2023 16:48","No",29,"N 7TH ST",2200,19133,5,26,"Poplar-Temple",181,3,"John F. Hartranft School",-75.145475,39.985014,2023
"262","2.02326E+11","Black (Non-Hispanic)","Male","Fatal","11/29/2023 16:28","No",32,"N 7TH ST",2200,19133,5,26,"Poplar-Temple",181,3,"John F. Hartranft School",-75.145475,39.985014,2023
"263","2.02324E+11","White (Non-Hispanic)","Male","Nonfatal","11/29/2023 16:12","No",32,"WEIKEL ST",3500,19134,1,24,"Juniata Park-Harrowgate",180,5,"John H. Webster School",-75.098646,39.994998,2023
"264","2.02335E+11","Black (Non-Hispanic)","Male","Nonfatal","11/29/2023 11:25","Yes",31,"67TH AVE",1500,19126,9,35,"Ogontz",203,4,"Prince Hall School",-75.143123,40.055349,2023
"265","2.02325E+11","Hispanic (Black or White)","Male","Nonfatal","11/27/2023 18:58","No",27,"W BRISTOL ST",800,19140,7,25,"Hunting Park-Fairhill",197,3,"Alexander K. McClure School",-75.139793,40.017277,2023
"266","2.02325E+11","Hispanic (Black or White)","Male","Nonfatal","11/27/2023 18:16","No",23,"N 7TH ST",3800,19140,7,25,"Hunting Park-Fairhill",197,3,"Bayard Taylor School",-75.140135,40.009454,2023
"267","2.02325E+11","Black (Non-Hispanic)","Male","Nonfatal","11/27/2023 14:23","Yes",24,"N 6TH ST",4400,19140,7,25,"Hunting Park-Fairhill",197,3,"Cayuga School",-75.136842,40.018477,2023
"268","2.02325E+11","Black (Non-Hispanic)","Male","Nonfatal","11/26/2023 9:55","No",23,"N FRANKLIN ST",4100,19140,7,25,"Hunting Park-Fairhill",197,3,"Alexander K. McClure School",-75.139826,40.014044,2023
"269","2.02326E+11","Black (Non-Hispanic)","Male","Nonfatal","11/25/2023 21:43","No",68,"N 9TH ST",2400,19133,5,26,"Poplar-Temple",181,3,"John F. Hartranft School",-75.147112,39.988418,2023
"270","2.02324E+11","Black (Non-Hispanic)","Male","Fatal","11/25/2023 20:36","No",58,"ORMOND ST",4000,19124,7,24,"Juniata Park-Harrowgate",180,2,"Francis Hopkinson School",-75.097195,40.008169,2023
"271","2.02324E+11","Black (Non-Hispanic)","Male","Fatal","11/25/2023 20:36","No",61,"ORMOND ST",4000,19124,7,24,"Juniata Park-Harrowgate",180,2,"Francis Hopkinson School",-75.097195,40.008169,2023
"272","2.02312E+11","Black (Non-Hispanic)","Male","Nonfatal","11/25/2023 19:51","No",16,"S 52ND ST",900,19143,3,12,"Paschall-Kingsessing",188,8,"Avery D. Harrington School",-75.224557,39.945303,2023
"273","2.02312E+11","Black (Non-Hispanic)","Male","Nonfatal","11/25/2023 19:51","No",17,"S 52ND ST",900,19143,3,12,"Paschall-Kingsessing",188,8,"Avery D. Harrington School",-75.224557,39.945303,2023
"274","2.02325E+11","Black (Non-Hispanic)","Male","Nonfatal","11/24/2023 13:52","Yes",30,"N 13TH ST",2700,19132,5,25,"Hunting Park-Fairhill",181,3,"Mastery Charter School at Clymer",-75.152577,39.994794,2023
"275","2.02339E+11","Black (Non-Hispanic)","Male","Nonfatal","11/24/2023 12:43","No",22,"GREENE ST",5100,19144,8,39,"Germantown",198,3,"John B. Kelly School",-75.16881,40.029444,2023
"276","2.02325E+11","Hispanic (Black or White)","Female","Nonfatal","11/24/2023 10:35","No",79,"N 3RD ST",3400,19140,7,25,"Hunting Park-Fairhill",197,2,"Honorable Luis Munoz-Marin School",-75.134812,40.003114,2023
"277","2.02312E+11","Black (Non-Hispanic)","Male","Fatal","11/24/2023 2:50","No",45,"KINGSESSING AVE",5600,19143,3,12,"Paschall-Kingsessing",191,8,"S. Weir Mitchell School",-75.224644,39.936503,2023
"278","2.02339E+11","Black (Non-Hispanic)","Male","Fatal","11/23/2023 17:54","No",26,"ARCHER ST",3800,19140,8,39,"Nicetown-Tioga",198,3,"Mastery Charter School at Cleveland",-75.160286,40.013281,2023
"279","2.02324E+11","Hispanic (Black or White)","Male","Nonfatal","11/23/2023 12:00","No",42,"REACH ST",3100,19134,7,24,"Upper Kensington",180,2,"Lewis Elkin School",-75.116306,39.995333,2023
"280","2.02335E+11","Black (Non-Hispanic)","Male","Fatal","11/23/2023 11:49","Yes",31,"OGONTZ AVE",6700,19126,9,35,"Ogontz",203,4,"Prince Hall School",-75.148999,40.057008,2023
"281","2.02322E+11","Black (Non-Hispanic)","Male","Nonfatal","11/23/2023 7:47","No",59,"EDGLEY ST",2300,19121,5,22,"Strawberry Mansion",181,3,"William Dick School",-75.17091,39.987209,2023
"282","2.02308E+11","White (Non-Hispanic)","Male","Nonfatal","11/23/2023 2:27","Yes",26,"ASHTON RD",9000,19136,6,8,"Torresdale South-Pennypack Park",174,5,"Robert B. Pollock School",-75.022561,40.062463,2023
"283","2.02326E+11","White (Non-Hispanic)","Male","Nonfatal","11/23/2023 1:38","No",21,"W WILDEY ST",0,19123,1,26,"Northern Liberties-West Kensington",175,1,"Alexander Adaire School",-75.135877,39.967144,2023
"284","2.02319E+11","Black (Non-Hispanic)","Male","Fatal","11/22/2023 19:53","No",20,"HESTON ST",5200,19131,4,19,"Overbrook Park-Wynnefield Heights",190,7,"Edward Heston School",-75.225557,39.980136,2023
"285","2.02335E+11","Black (Non-Hispanic)","Male","Fatal","11/22/2023 16:21","No",42,"W GODFREY AVE",2000,19138,8,35,"Ogontz",201,4,"Joseph Pennell School",-75.153589,40.048806,2023
"286","2.02307E+11","Black (Non-Hispanic)","Male","Nonfatal","11/22/2023 8:28","No",33,"STRAHLE ST",2200,19152,10,7,"Rhawnhurst-Fox Chase",174,5,"Louis H. Farrell School",-75.047255,40.064135,2023
"287","2.02315E+11","Hispanic (Black or White)","Male","Fatal","11/22/2023 8:15","Yes",45,"WELLINGTON ST",3100,19149,6,15,"Mayfair-Holmesburg",177,2,"Mayfair School",-75.049171,40.039766,2023
"288","2.02326E+11","Black (Non-Hispanic)","Female","Fatal","11/22/2023 5:34","Yes",42,"W NORRIS ST",700,19122,5,26,"Poplar-Temple",181,3,"William McKinley School",-75.146407,39.981821,2023
"289","2.02325E+11","Hispanic (Black or White)","Male","Nonfatal","11/21/2023 20:31","No",33,"N FAIRHILL ST",3000,19140,7,25,"Hunting Park-Fairhill",197,2,"Honorable Luis Munoz-Marin School",-75.139858,40.000427,2023
"290","2.02325E+11","Hispanic (Black or White)","Male","Fatal","11/21/2023 20:31","No",38,"N FAIRHILL ST",3000,19140,7,25,"Hunting Park-Fairhill",197,2,"Honorable Luis Munoz-Marin School",-75.139858,40.000427,2023
"291","2.02325E+11","Hispanic (Black or White)","Male","Fatal","11/21/2023 20:31","No",31,"N FAIRHILL ST",3000,19140,7,25,"Hunting Park-Fairhill",197,2,"Honorable Luis Munoz-Marin School",-75.139858,40.000427,2023
"292","2.02325E+11","Hispanic (Black or White)","Male","Nonfatal","11/21/2023 20:31","No",30,"N FAIRHILL ST",3000,19140,7,25,"Hunting Park-Fairhill",197,2,"Honorable Luis Munoz-Marin School",-75.139858,40.000427,2023
"293","2.02325E+11","Hispanic (Black or White)","Male","Nonfatal","11/21/2023 20:31","No",34,"N FAIRHILL ST",3000,19140,7,25,"Hunting Park-Fairhill",197,2,"Honorable Luis Munoz-Marin School",-75.139858,40.000427,2023
